,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,105,0,0,0,93,0,0,35,0,0,0,0
i,39,0,0,8,0,0,0,39,0,0,0,0
I+,3,0,0,0,3,0,0,0,3,0,0,0
io,0,0,0,0,0,0,0,0,0,0,0,0
II,0,0,63,0,0,0,54,0,0,12,0,0
ii,0,0,163,0,0,82,0,0,0,65,0,0
II+,0,0,1,0,0,0,1,0,0,0,1,0
iio,0,0,0,0,0,1,0,0,0,0,0,0
III,0,0,0,0,13,0,0,0,11,0,0,6
iii,0,0,0,0,115,0,0,65,0,0,0,39
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,0,0,0,0,0,0,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,29,0,0,0,0,138,0,0,0,115
v,0,0,71,0,0,0,0,102,0,0,24,0
V+,0,0,0,1,0,0,0,1,0,0,0,1
vo,0,0,0,0,0,0,0,0,0,0,0,0
VI,0,41,0,0,30,0,0,0,0,51,0,0
vi,63,0,0,0,66,0,0,0,0,119,0,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,3,0,0,0,0,0,0,0,0,0,0,0
VII,0,0,0,8,0,0,8,0,0,0,0,9
vii,0,0,34,0,0,0,10,0,0,0,0,45
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,10,0,0,37,0,0,0,0,0,36
