,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,0,4,0,0,4,0,6,0,0,0,6
i,0,0,31,13,0,3,2,59,0,8,18,0
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,1,0,0,0,0,0,1,0,1,0
II,0,12,0,0,5,0,0,8,0,14,0,0
ii,16,2,0,0,2,0,0,27,0,24,21,0
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,1,2,0,0,3,0,0,2,0,0,3,0
III,0,0,0,0,0,0,0,0,0,0,0,0
iii,0,0,21,0,0,0,0,0,0,0,0,12
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,3,0,0,3,0,0,0,0,0,3
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,11,0,14,0,0,0,14,0,0,3,0,0
v,45,24,178,34,30,88,0,17,3,38,35,0
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,2,8,2,7,4,3,1,8,0,7,0,0
VI,0,0,2,0,2,0,0,0,2,0,0,0
vi,0,0,35,0,38,0,0,36,0,0,0,1
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,0,0,0,0,0,0,0,0,0,0,0,0
VII,1,0,0,0,0,7,0,0,0,7,0,0
vii,3,2,0,0,1,10,4,3,1,4,4,0
VII+,0,1,0,0,0,1,0,0,0,1,0,0
viio,5,0,0,0,0,0,5,0,0,2,0,0
