,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,0,0,0,2,0,0,2,0,0,0,0,2
i,0,0,34,0,0,0,58,0,0,0,0,82
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,0,0,0,2,0,0,0,0,0,2
II,0,0,0,0,0,0,0,0,0,0,0,0
ii,0,18,0,0,14,0,0,0,2,0,0,0
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,0,6,0,0,0,0,0,6,0,0,0,0
III,0,0,36,0,0,0,32,0,0,8,0,0
iii,0,0,23,0,0,2,0,0,0,10,0,0
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,0,0,0,0,0,0,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,0,2,0,0,0,0,4,0,0,0,4,0
v,0,32,0,0,0,0,56,0,0,22,0,0
V+,0,0,0,0,0,0,0,0,0,0,0,0
vo,4,0,0,0,0,0,4,0,0,2,0,0
VI,0,0,2,0,0,0,0,22,0,0,0,20
vi,0,0,0,4,0,0,0,0,4,0,0,2
VI+,0,0,0,2,0,0,0,4,0,0,0,2
vio,0,0,8,0,0,0,0,0,8,0,0,2
VII,0,28,0,0,10,0,0,0,0,28,0,0
vii,0,10,0,0,0,0,0,0,0,0,10,0
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,0,0,14,0,0,0,0,0,12,0
