,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,29,0,4,0,24,0,0,13,0,0,0,2
i,6,1,2,1,1,0,0,7,1,0,0,0
I+,0,0,0,0,0,0,0,0,0,0,0,0
io,0,2,0,0,1,0,0,2,0,0,0,0
II,3,0,15,2,0,0,13,0,0,6,0,0
ii,15,0,27,7,0,19,2,3,0,11,4,0
II+,0,0,0,0,0,0,0,0,0,0,0,0
iio,5,0,0,6,0,0,1,0,0,6,0,0
III,0,0,0,0,0,0,0,0,0,0,0,0
iii,0,0,9,0,15,1,0,13,0,0,3,6
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,0,0,0,0,0,0,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,5,0,15,0,3,18,0,30,0,13,1,24
v,7,0,9,1,1,12,4,23,0,5,4,0
V+,0,1,0,3,1,1,0,3,0,1,0,3
vo,6,0,1,0,0,0,6,4,1,5,0,1
VI,0,8,1,0,5,0,0,8,0,9,1,0
vi,12,0,0,0,5,0,0,17,0,22,6,0
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,4,1,0,0,7,0,0,6,0,0,7,0
VII,0,0,0,6,0,0,3,0,0,2,0,7
vii,0,0,9,0,0,0,2,0,0,0,0,8
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,6,0,0,7,0,0,0,0,0,7
