,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
I,105,0,1,1,93,0,0,35,0,0,0,6
i,39,1,3,8,0,0,0,39,4,0,0,2
I+,3,0,0,0,3,0,0,0,3,0,0,1
io,0,14,0,0,5,0,0,14,0,0,0,0
II,14,0,63,0,0,0,54,0,0,12,0,0
ii,23,1,163,5,11,82,1,2,0,65,17,0
II+,0,0,1,0,0,0,1,0,0,0,1,0
iio,5,0,0,12,0,1,4,0,0,12,0,0
III,0,0,4,0,13,0,0,0,11,0,0,6
iii,0,0,21,2,115,2,0,65,0,1,1,39
III+,0,0,0,0,0,0,0,0,0,0,0,0
iiio,0,0,0,0,0,0,0,0,0,0,0,0
IV,0,0,0,0,0,0,0,0,0,0,0,0
iv,0,0,0,0,0,0,0,0,0,0,0,0
IV+,0,0,0,0,0,0,0,0,0,0,0,0
ivo,0,0,0,0,0,0,0,0,0,0,0,0
V,12,0,29,0,7,71,2,138,0,52,0,115
v,16,5,71,2,10,33,14,102,8,15,24,2
V+,0,6,0,1,4,6,1,1,0,6,0,1
vo,37,0,5,0,0,0,37,0,5,16,0,4
VI,0,41,0,0,30,0,0,20,0,51,0,0
vi,63,0,3,1,66,0,0,31,0,119,13,6
VI+,0,0,0,0,0,0,0,0,0,0,0,0
vio,3,3,0,0,27,0,0,13,0,0,27,0
VII,0,0,0,8,0,0,8,0,0,2,0,9
vii,0,0,34,0,1,0,10,0,0,6,0,45
VII+,0,0,0,0,0,0,0,0,0,0,0,0
viio,0,0,10,0,0,37,0,0,0,0,0,36
